Index,Date ,Close ,symbol
0,2023-02-07 00:00:00+05:30,17721.5,NIFTY50
1,2023-02-08 00:00:00+05:30,17871.7,NIFTY50
2,2023-02-09 00:00:00+05:30,17893.45,NIFTY50
3,2023-02-10 00:00:00+05:30,17856.5,NIFTY50
4,2023-02-13 00:00:00+05:30,17770.9,NIFTY50
5,2023-02-14 00:00:00+05:30,17929.85,NIFTY50
6,2023-02-15 00:00:00+05:30,18015.85,NIFTY50
7,2023-02-16 00:00:00+05:30,18035.85,NIFTY50
8,2023-02-17 00:00:00+05:30,17944.2,NIFTY50
9,2023-02-20 00:00:00+05:30,17844.6,NIFTY50
10,2023-02-21 00:00:00+05:30,17826.7,NIFTY50
11,2023-02-22 00:00:00+05:30,17554.3,NIFTY50
12,2023-02-23 00:00:00+05:30,17511.25,NIFTY50
13,2023-02-24 00:00:00+05:30,17465.8,NIFTY50
14,2023-02-27 00:00:00+05:30,17392.7,NIFTY50
15,2023-02-28 00:00:00+05:30,17303.95,NIFTY50
16,2023-03-01 00:00:00+05:30,17450.9,NIFTY50
17,2023-03-02 00:00:00+05:30,17321.9,NIFTY50
18,2023-03-03 00:00:00+05:30,17594.35,NIFTY50
19,2023-03-06 00:00:00+05:30,17711.45,NIFTY50
20,2023-03-08 00:00:00+05:30,17754.4,NIFTY50
21,2023-03-09 00:00:00+05:30,17589.6,NIFTY50
22,2023-03-10 00:00:00+05:30,17412.9,NIFTY50
23,2023-03-13 00:00:00+05:30,17154.3,NIFTY50
24,2023-03-14 00:00:00+05:30,17043.3,NIFTY50
25,2023-03-15 00:00:00+05:30,16972.15,NIFTY50
26,2023-03-16 00:00:00+05:30,16985.6,NIFTY50
27,2023-03-17 00:00:00+05:30,17100.05,NIFTY50
28,2023-03-20 00:00:00+05:30,16988.4,NIFTY50
29,2023-03-21 00:00:00+05:30,17107.5,NIFTY50
30,2023-03-22 00:00:00+05:30,17151.9,NIFTY50
31,2023-03-23 00:00:00+05:30,17076.9,NIFTY50
32,2023-03-24 00:00:00+05:30,16945.05,NIFTY50
33,2023-03-27 00:00:00+05:30,16985.7,NIFTY50
34,2023-03-28 00:00:00+05:30,16951.7,NIFTY50
35,2023-03-29 00:00:00+05:30,17080.7,NIFTY50
36,2023-03-31 00:00:00+05:30,17359.75,NIFTY50
37,2023-04-03 00:00:00+05:30,17398.05,NIFTY50
38,2023-04-05 00:00:00+05:30,17557.05,NIFTY50
39,2023-04-06 00:00:00+05:30,17599.15,NIFTY50
40,2023-04-10 00:00:00+05:30,17624.05,NIFTY50
41,2023-04-11 00:00:00+05:30,17722.3,NIFTY50
42,2023-04-12 00:00:00+05:30,17812.4,NIFTY50
43,2023-04-13 00:00:00+05:30,17828.0,NIFTY50
44,2023-04-17 00:00:00+05:30,17706.85,NIFTY50
45,2023-04-18 00:00:00+05:30,17660.15,NIFTY50
46,2023-04-19 00:00:00+05:30,17618.75,NIFTY50
47,2023-04-20 00:00:00+05:30,17624.45,NIFTY50
